name, success_rate, success_count, totol_problem_count, problems_solved, compilation_error_rate, compilation_error_count, total_answer_count, problems_w_ce, ce_rate_list, first_success_pos, avg_first_success_pos, avg_success_rate, first_success_count, first_success_rate
codet5p-220m-py_mbjp__test,46.27%,31.0,67.0,"[0, 3, 4, 5, 6, 7, 9, 10, 11, 14, 15, 16, 20, 22, 23, 26, 27, 28, 29, 35, 36, 37, 40, 43, 44, 46, 52, 53, 58, 62, 63]",17.01%,114.0,670.0,"[2, 4, 5, 6, 8, 10, 20, 21, 23, 24, 25, 26, 27, 29, 30, 31, 35, 36, 38, 39, 40, 42, 43, 47, 48, 49, 52, 55, 56, 59, 60, 61, 64, 65]",,,,,,
codet5-base_mbjp__test,13.43%,9.0,67.0,"[4, 6, 7, 23, 26, 40, 43, 53, 63]",59.40%,398.0,670.0,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 26, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 41, 42, 43, 44, 45, 46, 47, 48, 49, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 64, 65, 66]","[0.7, 1.0, 1.0, 0.0, 0.6, 1.0, 0.4, 0.2, 1.0, 0.3, 0.7, 0.4, 1.0, 0.1, 0.4, 1.0, 0.2, 0.4, 1.0, 0.0, 1.0, 0.7, 0.6, 0.8, 1.0, 0.0, 0.5, 0.0, 0.2, 0.4, 1.0, 0.8, 0.0, 0.9, 0.1, 0.7, 1.0, 0.6, 1.0, 0.6, 0.0, 0.6, 0.4, 0.9, 1.0, 0.2, 0.8, 1.0, 0.8, 0.7, 0.0, 1.0, 0.3, 0.1, 1.0, 0.8, 0.9, 1.0, 0.3, 0.9, 0.5, 1.0, 0.3, 0.0, 0.1, 1.0, 0.9]","[10, 10, 10, 10, 2, 10, 2, 0, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 0, 10, 10, 2, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 0, 10, 10, 2, 10, 10, 10, 10, 10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 10, 10, 10, 10, 10, 0, 10, 10, 10]",8.78,4.33%,5.0,7.46%
codet5p-220m_sufu__test,36.21%,21.0,58.0,"[0, 1, 4, 5, 7, 9, 12, 16, 20, 22, 23, 29, 31, 32, 36, 41, 47, 49, 50, 52, 55]",78.79%,457.0,580.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57]","[0.5, 0.8, 1.0, 1.0, 0.4, 0.5, 1.0, 0.4, 1.0, 0.7, 1.0, 1.0, 0.4, 1.0, 1.0, 1.0, 0.2, 1.0, 1.0, 0.9, 0.6, 1.0, 0.7, 0.7, 1.0, 1.0, 1.0, 0.9, 1.0, 0.7, 1.0, 0.3, 0.5, 1.0, 1.0, 0.5, 0.4, 0.6, 0.3, 1.0, 0.7, 0.7, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8, 1.0, 0.7, 0.7, 1.0, 0.9, 0.7, 1.0, 0.3, 1.0, 0.2]","[0, 0, 10, 10, 0, 0, 10, 0, 10, 0, 10, 10, 0, 10, 10, 10, 0, 10, 10, 10, 0, 10, 0, 1, 10, 10, 10, 10, 10, 0, 10, 0, 2, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, 10, 10, 10, 0, 10, 0, 0, 10, 0, 10, 10, 0, 10, 10]",6.43,13.45%,19.0,32.76%
sufucoq__test(2025-06-07_21-03-51/100),18.97%,11.0,58.0,"[15, 22, 26, 29, 31, 36, 41, 44, 49, 50, 51]",0.00%,0.0,173.0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 10, 10, 0, 10, 10, 10, 0, 10, 10, 0, 10, 0, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, 0, 10, 10, 10, 10, 0, 0, 1, 10, 10, 10, 10, 10, 10]",8.12,11.56%,10.0,17.24%
sufucoq__test(2025-06-07_21-03-51/200),22.41%,13.0,58.0,"[12, 15, 22, 31, 36, 38, 41, 43, 44, 47, 49, 50, 51]",3.09%,6.0,194.0,"[31, 37, 43, 54, 57]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1111111111111111, 0.0, 0.0, 0.1111111111111111]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 2, 10, 10, 0, 10, 10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 0, 10, 10, 0, 10, 1, 0, 10, 10, 0, 10, 0, 0, 2, 10, 10, 10, 10, 10, 10]",7.84,11.86%,10.0,17.24%
sufucoq__test(2025-06-07_21-03-51/300),27.59%,16.0,58.0,"[12, 15, 22, 26, 29, 31, 32, 36, 38, 41, 44, 47, 49, 50, 51, 56]",1.98%,5.0,252.0,"[29, 37, 52, 56]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14285714285714285, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.16666666666666666, 0.0]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 0, 10, 10, 0, 10, 10, 10, 10, 10, 10, 0, 10, 10, 10, 0, 10, 10, 0, 10, 0, 0, 10, 10, 10, 0, 10, 2, 10, 10, 0, 10, 10, 0, 10, 10, 0, 10, 0, 0, 1, 10, 10, 10, 10, 1, 10]",7.31,13.10%,13.0,22.41%
sufucoq__test(2025-06-07_21-03-51/400),25.86%,15.0,58.0,"[7, 12, 15, 22, 26, 29, 31, 36, 41, 44, 47, 49, 50, 55, 56]",0.00%,0.0,251.0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[10, 10, 10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, 0, 10, 10, 10, 10, 10, 10, 0, 10, 10, 10, 0, 10, 10, 0, 10, 0, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 10, 10, 1, 10, 10, 0, 10, 0, 0, 10, 10, 10, 10, 0, 2, 10]",7.47,14.34%,13.0,22.41%
sufucoq__test(2025-06-07_21-03-51/500),39.66%,23.0,58.0,"[7, 12, 13, 15, 16, 22, 26, 29, 30, 31, 32, 36, 37, 38, 40, 41, 44, 49, 50, 51, 52, 55, 56]",1.98%,5.0,253.0,"[10, 22, 31, 50, 56]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0]","[10, 10, 10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 0, 10, 0, 2, 10, 10, 10, 10, 10, 0, 10, 10, 10, 0, 10, 10, 0, 5, 0, 0, 10, 10, 10, 0, 2, 0, 10, 2, 0, 10, 10, 0, 10, 10, 10, 10, 0, 0, 1, 0, 10, 10, 0, 4, 10]",6.31,19.37%,17.0,29.31%
sufucoq__test(2025-06-07_21-03-51/600),41.38%,24.0,58.0,"[6, 7, 12, 15, 22, 23, 26, 29, 31, 32, 36, 37, 38, 40, 41, 43, 44, 47, 49, 50, 51, 52, 55, 56]",1.15%,3.0,261.0,"[6, 37, 50]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[10, 10, 10, 10, 10, 10, 0, 0, 10, 10, 10, 10, 2, 10, 10, 0, 10, 10, 10, 10, 10, 10, 0, 2, 10, 10, 1, 10, 10, 0, 10, 0, 0, 10, 10, 10, 0, 3, 3, 10, 0, 0, 10, 1, 0, 10, 10, 0, 10, 0, 0, 1, 0, 10, 10, 0, 3, 10]",6.14,19.54%,16.0,27.59%
sufucoq__test(2025-06-07_21-03-51/700),36.21%,21.0,58.0,"[6, 7, 15, 16, 20, 22, 26, 29, 31, 32, 35, 36, 37, 40, 41, 44, 47, 49, 50, 51, 56]",1.61%,4.0,248.0,"[22, 41]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[10, 10, 10, 10, 10, 10, 0, 0, 10, 10, 10, 10, 10, 10, 10, 0, 1, 10, 10, 10, 0, 10, 0, 10, 10, 10, 0, 10, 10, 0, 10, 0, 1, 10, 10, 2, 0, 4, 10, 10, 0, 0, 10, 10, 0, 10, 10, 0, 10, 0, 0, 2, 10, 10, 10, 10, 5, 10]",6.64,14.52%,15.0,25.86%
