name, success_rate, success_count, totol_problem_count, problems_solved, compilation_error_rate, compilation_error_count, total_answer_count, problems_w_ce, ce_rate_list, first_success_pos, avg_first_success_pos, avg_success_rate, first_success_count, first_success_rate
sufucoq__test(2025-06-07_21-03-51/800),43.10%,25.0,58.0,"[4, 6, 7, 12, 13, 15, 16, 18, 20, 22, 26, 29, 30, 31, 32, 35, 36, 41, 43, 44, 47, 49, 50, 55, 56]",2.68%,8.0,298.0,"[18, 20, 36, 38, 50, 52, 57]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2222222222222222, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14285714285714285, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.1111111111111111, 0.0, 0.0, 0.0, 0.0, 0.16666666666666666]","[10, 10, 10, 10, 0, 10, 0, 0, 10, 10, 10, 10, 1, 1, 10, 0, 2, 10, 0, 10, 0, 10, 0, 10, 10, 10, 0, 10, 10, 0, 0, 0, 0, 10, 10, 0, 0, 10, 10, 10, 10, 0, 10, 0, 0, 10, 10, 0, 10, 0, 0, 10, 10, 10, 10, 0, 2, 10]",5.79,17.45%,21.0,36.21%
sufucoq__test(2025-06-07_21-03-51/900),44.83%,26.0,58.0,"[0, 4, 5, 6, 7, 9, 13, 15, 16, 18, 20, 22, 26, 29, 31, 32, 35, 36, 41, 43, 44, 47, 49, 50, 51, 55]",0.00%,0.0,358.0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 10, 10, 10, 0, 0, 0, 0, 10, 1, 10, 10, 10, 1, 10, 0, 0, 10, 0, 10, 0, 10, 0, 10, 10, 10, 0, 10, 10, 0, 10, 0, 0, 10, 10, 0, 0, 10, 10, 10, 10, 0, 10, 0, 1, 10, 10, 0, 10, 0, 0, 1, 10, 10, 10, 0, 10, 10]",5.59,17.88%,22.0,37.93%
codet5p-220m_mbjp__test(2025-06-09_22-32-04/200),20.90%,14.0,67.0,"[6, 7, 10, 11, 15, 20, 37, 43, 44, 46, 53, 55, 62, 63]",37.46%,251.0,670.0,"[0, 2, 4, 5, 8, 9, 10, 11, 12, 18, 19, 21, 22, 23, 24, 25, 26, 27, 29, 30, 31, 32, 33, 34, 35, 37, 38, 39, 40, 41, 43, 44, 46, 48, 49, 52, 53, 54, 55, 56, 57, 60, 61, 63, 64, 65, 66]",,,,,,
sufugrammar__test,36.21%,21.0,58.0,"[7, 12, 13, 15, 22, 26, 29, 30, 31, 32, 36, 37, 38, 40, 41, 44, 49, 50, 51, 52, 55]",72.13%,352.0,488.0,"[0, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57]","[0.75, 0.0, 0.8888888888888888, 1.0, 0.8888888888888888, 0.0, 0.6666666666666666, 0.5, 0.8888888888888888, 0.8, 0.7, 1.0, 0.7, 0.375, 0.0, 0.7, 0.9, 0.0, 0.75, 0.5, 0.5, 1.0, 0.7, 0.5, 0.8, 0.8, 0.9, 0.6, 0.9, 0.7, 0.2, 0.5, 0.8, 1.0, 1.0, 0.9, 0.4, 0.7, 0.5, 0.7777777777777778, 0.5, 0.5, 1.0, 1.0, 0.8, 0.8, 1.0, 0.9, 0.9, 0.6, 0.4, 0.5, 0.8, 0.2, 0.9, 0.6, 0.6, 0.7]","[10, 10, 10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 0, 10, 0, 10, 10, 10, 10, 10, 10, 0, 10, 10, 10, 0, 10, 10, 0, 7, 0, 1, 10, 10, 10, 0, 7, 0, 10, 2, 0, 10, 10, 0, 10, 10, 10, 10, 0, 0, 2, 0, 10, 10, 0, 10, 10]",6.71,9.02%,16.0,27.59%
sufunocheck__test,36.21%,21.0,58.0,"[7, 12, 13, 15, 22, 26, 29, 30, 31, 32, 36, 37, 38, 40, 41, 44, 49, 50, 51, 52, 55]",59.15%,278.0,470.0,"[3, 7, 8, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57]","[1.1, 1.1, 1.1, 0.9, 0.0, 1.1, 1.1, 0.4, 0.2, 0.0, 0.7, 1.0, 0.7, 0.9, 0.5, 0.1, 1.0, 0.0, 1.1, 1.1, 0.0, 1.0, 0.5, 0.5, 1.0, 0.2, 0.9, 0.3, 1.0, 0.7, 0.2, 0.3, 0.6, 1.0, 1.0, 0.8, 0.3, 0.7, 0.5, 0.8, 0.5, 0.5, 1.0, 0.5, 0.8, 0.75, 0.0, 1.0, 0.9, 0.4, 0.3, 0.4, 0.8, 0.6, 0.7, 0.7, 0.3, 0.6]","[10, 10, 10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 0, 2, 10, 0, 10, 10, 10, 10, 10, 10, 0, 10, 10, 10, 0, 10, 10, 0, 7, 0, 1, 10, 10, 10, 0, 7, 0, 10, 2, 0, 10, 10, 2, 10, 10, 10, 10, 0, 0, 2, 0, 10, 10, 0, 10, 10]",6.78,10.64%,14.0,24.14%
mbjpgrammar__test,19.40%,13.0,67.0,"[0, 3, 6, 7, 19, 22, 25, 26, 43, 44, 53, 60, 63]",26.12%,175.0,670.0,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 13, 15, 18, 19, 20, 21, 24, 25, 27, 30, 31, 32, 35, 36, 37, 38, 39, 41, 42, 43, 45, 47, 48, 50, 55, 56, 57, 58, 60, 61, 64, 66]","[0.0, 0.6, 0.5, 0.7, 0.3, 0.9, 0.3, 0.0, 0.2, 0.6, 0.2, 0.7, 0.0, 0.1, 0.0, 0.1, 0.0, 0.0, 0.1, 0.1, 0.4, 0.7, 0.0, 0.0, 0.6, 0.1, 0.0, 0.1, 0.0, 0.0, 0.6, 0.8, 0.3, 0.0, 0.0, 0.4, 0.7, 0.3, 0.1, 0.1, 0.0, 0.9, 0.2, 0.7, 0.0, 0.1, 0.0, 1.0, 0.1, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.4, 0.4, 1.0, 0.1, 0.0, 0.2, 0.9, 0.0, 0.0, 0.5, 0.0, 0.3]","[0, 10, 10, 8, 10, 10, 1, 0, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 0, 10, 10, 1, 10, 10, 3, 5, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 0, 0, 10, 10, 10, 10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 10, 10, 1, 10, 10, 0, 10, 10, 10]",8.34,5.67%,7.0,10.45%
mbjpcoq__test(2025-06-11_11-41-16/50),20.90%,14.0,67.0,"[6, 7, 14, 19, 22, 25, 26, 28, 37, 43, 44, 53, 60, 63]",7.01%,47.0,670.0,"[2, 5, 6, 9, 11, 21, 24, 30, 31, 32, 38, 39, 42, 43, 55, 58]","[0.0, 0.0, 0.1, 0.0, 0.0, 0.5, 0.1, 0.0, 0.0, 0.2, 0.0, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7, 0.0, 0.0, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 1.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.1, 0.0, 0.0, 0.1, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[10, 10, 10, 10, 10, 10, 1, 0, 10, 10, 10, 10, 10, 10, 2, 10, 10, 10, 10, 0, 10, 10, 0, 10, 10, 5, 2, 10, 5, 10, 10, 10, 10, 10, 10, 10, 10, 4, 10, 10, 10, 10, 10, 0, 0, 10, 10, 10, 10, 10, 10, 10, 10, 1, 10, 10, 10, 10, 10, 10, 0, 10, 10, 0, 10, 10, 10]",8.21,6.57%,7.0,10.45%
mbjpcoq__test(2025-06-11_11-41-16/100),20.90%,14.0,67.0,"[6, 7, 14, 19, 20, 22, 26, 35, 43, 44, 53, 60, 63, 65]",6.42%,42.0,654.0,"[5, 9, 11, 21, 30, 31, 38, 39, 41, 42, 43, 47, 61]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.1, 0.0, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.1, 0.0, 0.2, 0.1, 0.1, 0.0, 0.0, 0.0, 0.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0]","[10, 10, 10, 10, 10, 10, 1, 0, 10, 10, 10, 10, 10, 10, 2, 10, 10, 10, 10, 0, 5, 10, 0, 10, 10, 10, 6, 10, 10, 10, 10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 10, 10, 10, 0, 0, 10, 10, 10, 10, 10, 10, 10, 10, 1, 10, 10, 10, 10, 10, 10, 0, 10, 10, 0, 10, 5, 10]",8.21,6.73%,8.0,11.94%
mbjpcoq__test(2025-06-11_11-41-16/150),22.39%,15.0,67.0,"[0, 6, 7, 10, 14, 19, 20, 22, 26, 28, 43, 44, 53, 60, 63]",5.26%,35.0,665.0,"[5, 8, 9, 11, 30, 31, 38, 41, 42, 58, 61]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.1, 0.3, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.3, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0]","[2, 10, 10, 10, 10, 10, 0, 0, 10, 10, 6, 10, 10, 10, 5, 10, 10, 10, 10, 0, 4, 10, 0, 10, 10, 10, 1, 10, 5, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 0, 1, 10, 10, 10, 10, 10, 10, 10, 10, 1, 10, 10, 10, 10, 10, 10, 0, 10, 10, 0, 10, 10, 10]",8.13,6.32%,7.0,10.45%
mbjpcoq__test(2025-06-11_11-41-16/200),22.39%,15.0,67.0,"[0, 6, 7, 10, 14, 19, 20, 22, 25, 26, 43, 44, 53, 60, 63]",6.10%,40.0,656.0,"[5, 9, 11, 21, 24, 30, 31, 39, 41, 42, 58, 61]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.1, 0.0, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.1, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0]","[3, 10, 10, 10, 10, 10, 0, 0, 10, 10, 6, 10, 10, 10, 6, 10, 10, 10, 10, 0, 1, 10, 2, 10, 10, 7, 3, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 0, 0, 10, 10, 10, 10, 10, 10, 10, 10, 1, 10, 10, 10, 10, 10, 10, 0, 10, 10, 0, 10, 10, 10]",8.19,6.10%,7.0,10.45%
mbjpcoq__test(2025-06-11_11-41-16/250),25.37%,17.0,67.0,"[0, 4, 6, 7, 10, 14, 19, 20, 22, 23, 26, 35, 43, 44, 53, 60, 63]",5.81%,38.0,654.0,"[5, 9, 11, 21, 31, 39, 42, 52, 55, 58, 61]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.6, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.3, 0.0, 0.0, 0.3, 0.0, 0.0, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0]","[3, 10, 10, 10, 1, 10, 0, 0, 10, 10, 8, 10, 10, 10, 1, 10, 10, 10, 10, 0, 2, 10, 0, 9, 10, 10, 2, 10, 10, 10, 10, 10, 10, 10, 10, 4, 10, 10, 10, 10, 10, 10, 10, 0, 0, 10, 10, 10, 10, 10, 10, 10, 10, 1, 10, 10, 10, 10, 10, 10, 0, 10, 10, 0, 10, 10, 10]",7.93,6.12%,8.0,11.94%
t5-base_mbjp__test,0.00%,0.0,67.0,[],98.06%,657.0,670.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66]",,,,,,
flan-t5-base_mbjp__test,0.00%,0.0,67.0,[],98.21%,658.0,670.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66]",,,,,,
sufucoqview__test(2025-06-19_20-01-51/10),51.72%,30.0,58.0,"[0, 4, 6, 7, 9, 13, 15, 16, 18, 19, 20, 22, 26, 27, 29, 30, 31, 32, 35, 36, 40, 41, 43, 44, 47, 49, 50, 51, 55, 56]",0.30%,1.0,330.0,[4],"[0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 10, 10, 10, 0, 10, 0, 0, 10, 1, 10, 10, 10, 1, 10, 0, 0, 10, 0, 1, 0, 10, 0, 10, 10, 10, 0, 4, 10, 0, 3, 0, 0, 10, 10, 0, 0, 10, 10, 10, 0, 0, 10, 0, 0, 10, 10, 0, 10, 0, 0, 2, 10, 10, 10, 0, 2, 10]",5.07,20.00%,23.0,39.66%
sufucoqview__test(2025-06-19_20-01-51/20),53.45%,31.0,58.0,"[0, 4, 5, 6, 7, 9, 13, 15, 16, 18, 19, 20, 22, 26, 29, 30, 31, 32, 35, 36, 38, 40, 41, 43, 44, 47, 49, 50, 51, 52, 55]",0.56%,2.0,358.0,[6],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 10, 10, 10, 0, 1, 0, 0, 10, 1, 10, 10, 10, 1, 10, 0, 1, 10, 0, 1, 0, 10, 0, 10, 10, 10, 0, 10, 10, 0, 3, 0, 0, 10, 10, 0, 0, 10, 3, 10, 0, 0, 10, 0, 0, 10, 10, 0, 10, 0, 0, 2, 2, 10, 10, 0, 10, 10]",4.91,21.79%,22.0,37.93%
sufucoqview__test(2025-06-19_20-01-51/30),48.28%,28.0,58.0,"[0, 4, 5, 6, 7, 9, 13, 15, 18, 19, 20, 22, 26, 29, 30, 31, 32, 35, 36, 40, 41, 43, 44, 47, 49, 50, 51, 55]",1.15%,4.0,348.0,"[4, 6]","[0.0, 0.0, 0.0, 0.0, 0.1111111111111111, 0.0, 0.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 10, 10, 10, 0, 0, 0, 0, 10, 1, 10, 10, 10, 1, 10, 0, 10, 10, 0, 1, 0, 10, 0, 10, 10, 10, 0, 10, 10, 0, 5, 0, 0, 10, 10, 0, 0, 10, 10, 10, 1, 0, 10, 0, 0, 10, 10, 0, 10, 0, 0, 2, 10, 10, 10, 0, 10, 10]",5.36,21.84%,22.0,37.93%
sufucoqview__test(2025-06-19_20-01-51/40),48.28%,28.0,58.0,"[0, 4, 5, 6, 7, 9, 13, 15, 18, 19, 20, 22, 26, 29, 30, 31, 32, 35, 36, 40, 41, 43, 44, 47, 49, 50, 51, 55]",0.00%,0.0,349.0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 10, 10, 10, 1, 1, 0, 0, 10, 1, 10, 10, 10, 1, 10, 0, 10, 10, 0, 1, 0, 10, 0, 10, 10, 10, 0, 10, 10, 0, 4, 0, 0, 10, 10, 0, 0, 10, 10, 10, 2, 0, 10, 0, 0, 10, 10, 0, 10, 0, 0, 2, 10, 10, 10, 0, 10, 10]",5.4,18.05%,20.0,34.48%
sufucoqview__test(2025-06-19_20-01-51/50),51.72%,30.0,58.0,"[0, 4, 5, 6, 7, 9, 13, 15, 16, 18, 19, 20, 22, 26, 27, 29, 30, 31, 32, 35, 36, 40, 41, 43, 44, 47, 49, 50, 51, 55]",0.54%,2.0,368.0,[6],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 10, 10, 10, 1, 0, 0, 0, 10, 0, 10, 10, 10, 1, 10, 0, 1, 10, 0, 1, 0, 10, 0, 10, 10, 10, 0, 9, 10, 0, 5, 0, 0, 10, 10, 0, 0, 10, 10, 10, 0, 0, 10, 0, 1, 10, 10, 0, 10, 0, 0, 3, 10, 10, 10, 0, 10, 10]",5.21,19.57%,22.0,37.93%
sufucoqview__test(2025-06-19_20-01-51/60),51.72%,30.0,58.0,"[0, 4, 5, 6, 7, 9, 13, 15, 18, 19, 20, 22, 26, 27, 29, 30, 31, 32, 35, 36, 40, 41, 43, 44, 47, 49, 50, 51, 55, 56]",0.57%,2.0,352.0,"[32, 55]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0]","[0, 10, 10, 10, 0, 0, 0, 0, 10, 1, 10, 10, 10, 1, 10, 0, 10, 10, 0, 3, 0, 10, 0, 10, 10, 10, 0, 6, 10, 0, 5, 0, 0, 10, 10, 0, 0, 10, 10, 10, 1, 0, 10, 0, 1, 10, 10, 0, 10, 0, 0, 2, 10, 10, 10, 0, 3, 10]",5.22,21.88%,21.0,36.21%
sufucoqview__test(2025-06-19_20-01-51/70),50.00%,29.0,58.0,"[0, 4, 5, 6, 7, 9, 13, 15, 16, 18, 19, 20, 22, 26, 29, 30, 31, 32, 36, 40, 41, 43, 44, 47, 49, 50, 51, 55, 56]",1.10%,4.0,363.0,"[6, 18, 55]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0]","[0, 10, 10, 10, 0, 0, 0, 0, 10, 1, 10, 10, 10, 1, 10, 0, 1, 10, 0, 4, 0, 10, 0, 10, 10, 10, 0, 10, 10, 0, 5, 0, 0, 10, 10, 10, 0, 10, 10, 10, 1, 0, 10, 0, 0, 10, 10, 0, 10, 0, 0, 2, 10, 10, 10, 0, 3, 10]",5.31,21.49%,21.0,36.21%
sufucoqview__test(2025-06-19_20-01-51/80),55.17%,32.0,58.0,"[0, 4, 5, 6, 7, 9, 13, 15, 16, 18, 19, 20, 22, 26, 27, 29, 30, 31, 32, 35, 36, 38, 40, 41, 43, 44, 47, 49, 50, 51, 55, 56]",0.28%,1.0,358.0,[18],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 10, 10, 10, 0, 1, 0, 0, 10, 0, 10, 10, 10, 1, 10, 0, 1, 10, 0, 3, 0, 10, 0, 10, 10, 10, 0, 9, 10, 0, 3, 0, 0, 10, 10, 0, 0, 10, 5, 10, 1, 0, 10, 0, 0, 10, 10, 0, 10, 0, 0, 2, 10, 10, 10, 0, 2, 10]",4.97,23.18%,22.0,37.93%
sufucoqview__test(2025-06-19_20-01-51/90),50.00%,29.0,58.0,"[0, 4, 5, 6, 7, 9, 13, 15, 16, 18, 19, 20, 22, 26, 29, 30, 31, 32, 35, 36, 41, 43, 44, 47, 49, 50, 51, 55, 56]",0.82%,3.0,366.0,"[18, 55]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0]","[0, 10, 10, 10, 0, 0, 0, 0, 10, 1, 10, 10, 10, 1, 10, 0, 1, 10, 0, 2, 0, 10, 0, 10, 10, 10, 0, 10, 10, 0, 4, 0, 0, 10, 10, 0, 0, 10, 10, 10, 10, 0, 10, 0, 0, 10, 10, 0, 10, 0, 0, 2, 10, 10, 10, 0, 2, 10]",5.22,22.13%,22.0,37.93%
